Answer1: 99/2
Answer2: 8
Answer3: 81
Answer4: 13
Answer5: 18
Answer6: 5/7
Answer7: 17
Answer8: 4
Answer9: 2
Answer10: 31
Answer11: 5
Answer12: 3
Answer13: 125
Answer14: 24/7
Answer15: 8/7
Answer16: 2
Answer17: 65/8
Answer18: 16
Answer19: 10
Answer20: 1/7
Answer21: 53/7
Answer22: 7/3
Answer23: 2
Answer24: 2
Answer25: 7
Answer26: 299/30
Answer27: 12/7
Answer28: 5/3
Answer29: 5/4
Answer30: 10
Answer31: 10/3
Answer32: 1
Answer33: 9
Answer34: 23
Answer35: 37/7
Answer36: 10
Answer37: 6
Answer38: 22
Answer39: 1
Answer40: 66
Answer41: 40
Answer42: 20/3
Answer43: 13/4
Answer44: 16
Answer45: 2/15
Answer46: 92
Answer47: 900
Answer48: 2
Answer49: 17/15
Answer50: 8/15
Answer51: 14
Answer52: 17/3
Answer53: 1/2
Answer54: 9999
Answer55: 51/2
Answer56: 9/10
Answer57: 12
Answer58: 10/3
Answer59: 12778
Answer60: 43/9
Answer61: 168
Answer62: 1/5
Answer63: 13/7
Answer64: 106/5
Answer65: 60
Answer66: 1/270
Answer67: 6
Answer68: 21/10
Answer69: 7/10
Answer70: 1/16
Answer71: 5
Answer72: 20
Answer73: 3
Answer74: 5
Answer75: 7/9
Answer76: 19/2
Answer77: 14
Answer78: 35/4
Answer79: 7
Answer80: 57
Answer81: 3
Answer82: 12
Answer83: 73/9
Answer84: 25/4
Answer85: 1/2
Answer86: 1/8
Answer87: 9
Answer88: 9/8
Answer89: 31
Answer90: 56/3
Answer91: 5
Answer92: 41
Answer93: 1/84
Answer94: 9/2
Answer95: 5
Answer96: 1
Answer97: 1/6
Answer98: 7/6
Answer99: 11
Answer100: 6
